"STYLE_CD","COUNT(*)"
AXWW42011,1
AXXX44121,1
AXXX44311,1
AXXX44321,1
AXZM52311,3
AXZM56511,3
AXZM56721,4
AXZW45111,1
B9PAX16002,3
B9TCX16013,3
B9TCX16014,6
B9TEX16001,3
BEABX16121,3
BEABX17113,6
BEABX17116,6
BEABX18122,3
BEABX18791,6
BEABX19114,6
BEABX19115,6
BEAIA15434,7
BEAIA15711,8
BEAIA15713,4
BEAIA15732,3
BEAIW15151,3
BEAIW15474,3
BEAIW15771,8
BEAIX16131,3
BEAIX16172,3
BEAIX16275,3
BEAIX16276,3
BEAIX16431,3
BEAIX16451,3
BEAIX16454,6
BEAIX16479,3
BEAIX16552,3
BEAIX16737,3
BEAIX16738,3
BEAIX16772,6
BEAIX16773,3
BEAIX16776,3
BEAIX16793,9
BEAIX16871,3
BEAIX17151,6
BEAIX17451,3
BEAIX17454,3
BEAIX17471,4
BEAIX17473,3
BEAIX17476,3
BEAIX17477,3
BEAIX17581,12
BEAIX17592,3
BEAIX17733,6
BEAIX17752,6
BEAIX17754,3
BEAIX17755,3
BEAIX17774,9
BEAIX17794,6
BEAIX17833,6
BEAIX17871,6
BEAIX18071,3
BEAIX18411,3
BEAIX18432,3
BEAIX18715,3
BEAIX18773,3
BEAIX18791,6
BEAIX18792,3
BEAIX18852,6
BEAIX18853,3
BEAIX18872,3
BEAIX18876,3
BEAIX18915,3
BEAIX18923,3
BEAIX18926,3
BEAIX19171,6
BEAIX19192,12
BEAIX19711,6
BEAIX19733,3
BEAIX19751,9
BEAIX19752,9
BEAIX20134,3
BEAIX20171,3
BEAIX20178,3
BEAIX20232,6
BEAIX20274,6
BEAIX20384,3
BEAIX20485,9
BEAIX20582,3
BEAIX20911,9
BEAIX21173,3
BEAIX21178,3
BEAIX21232,6
BEAIX21575,3
BEAIX21577,3
BEAJX18411,4
BEAJX18423,4
BEAJX19111,12
BEBAX18462,3
BELDX20721,3
BERAM21103,4
BERAM22104,3
BERAW21452,4
BERAW21453,4
BIJCW20711,3
BIPAM19661,3
